Daily rainfall(in mm) trends for Darjiling from 18-Mar-2014 to 18-Mar-2024

Dates,NORMAL (mm) ,ACTUAL (mm) 
"18-Mar-2014",0.9,0
"19-Mar-2014",1.3,2.59
"20-Mar-2014",1.4,2.81
"21-Mar-2014",2,4.88
"22-Mar-2014",1,0.17
"23-Mar-2014",2,3.28
"24-Mar-2014",1.9,1.3
"25-Mar-2014",2.5,0.03
"26-Mar-2014",1.6,5.84
"27-Mar-2014",1.9,0
"28-Mar-2014",2.3,0.36
"29-Mar-2014",0.7,0.09
"30-Mar-2014",1.5,0
"31-Mar-2014",3.3,0
"01-Apr-2014",1,0
"02-Apr-2014",1.5,0
"03-Apr-2014",2,0.1
"04-Apr-2014",1.1,0.47
"05-Apr-2014",0.7,0.65
"06-Apr-2014",1.2,0.23
"07-Apr-2014",1,0.44
"08-Apr-2014",2.3,15.8
"09-Apr-2014",1.3,0.21
"10-Apr-2014",2.4,0.89
"11-Apr-2014",2,0.52
"12-Apr-2014",1.3,0
"13-Apr-2014",4,0.13
"14-Apr-2014",2.2,0
"15-Apr-2014",2.3,0.1
"16-Apr-2014",2.4,0.32
"17-Apr-2014",2.3,0
"18-Apr-2014",4.1,0.68
"19-Apr-2014",3.9,0.22
"20-Apr-2014",2.9,1.57
"21-Apr-2014",3.5,0
"22-Apr-2014",3.4,0
"23-Apr-2014",3.4,0
"24-Apr-2014",2.5,0
"25-Apr-2014",3.1,0
"26-Apr-2014",3.5,0
"27-Apr-2014",4.7,0.6
"28-Apr-2014",4.4,10.88
"29-Apr-2014",5.2,0
"30-Apr-2014",6.8,3.26
"01-May-2014",5.7,10.51
"02-May-2014",6.8,28.16
"03-May-2014",5.8,1.47
"04-May-2014",7.1,12.19
"05-May-2014",5.9,3.33
"06-May-2014",2.7,4.27
"07-May-2014",4.1,3.66
"08-May-2014",6,11.86
"09-May-2014",6,2.98
"10-May-2014",4.2,0.63
"11-May-2014",5.7,0.07
"12-May-2014",7.5,51.56
"13-May-2014",6.9,1.84
"14-May-2014",7.2,2.89
"15-May-2014",6.5,0.34
"16-May-2014",5.3,3.84
"17-May-2014",5.6,0.99
"18-May-2014",4.2,1.82
"19-May-2014",4.6,6.74
"20-May-2014",7.1,19.4
"21-May-2014",4.9,1.02
"22-May-2014",7,18.26
"23-May-2014",4.7,4.3
"24-May-2014",5.9,8.56
"25-May-2014",6.5,0.13
"26-May-2014",6.8,3.43
"27-May-2014",8.6,5.02
"28-May-2014",10.4,33.47
"29-May-2014",7.1,79.54
"30-May-2014",4.3,0
"31-May-2014",7.1,0
"01-Jun-2014",11,0
"02-Jun-2014",7.8,2.3
"03-Jun-2014",10.1,48.28
"04-Jun-2014",8,7.4
"05-Jun-2014",12.8,37.46
"06-Jun-2014",9.3,30.89
"07-Jun-2014",12.9,44.3
"08-Jun-2014",10.5,31.86
"09-Jun-2014",15.2,23.9
"10-Jun-2014",14.1,1.54
"11-Jun-2014",14.3,13.65
"12-Jun-2014",21.8,14.61
"13-Jun-2014",21.9,22.56
"14-Jun-2014",13.5,28.67
"15-Jun-2014",16.3,0.11
"16-Jun-2014",16.4,5.55
"17-Jun-2014",19.5,4.22
"18-Jun-2014",20.2,11.46
"19-Jun-2014",19,4.72
"20-Jun-2014",16.6,19.61
"21-Jun-2014",17.9,43.61
"22-Jun-2014",18.5,27.36
"23-Jun-2014",19.4,27.12
"24-Jun-2014",24.7,28.09
"25-Jun-2014",19.1,79.52
"26-Jun-2014",24.2,1.04
"27-Jun-2014",22.6,23.99
"28-Jun-2014",18.6,54.52
"29-Jun-2014",22.3,45.06
"30-Jun-2014",29,32.97
"01-Jul-2014",31,21.4
"02-Jul-2014",28.5,4.21
"03-Jul-2014",21.1,9.5
"04-Jul-2014",19.8,7.65
"05-Jul-2014",21.7,21.74
"06-Jul-2014",27.2,20.17
"07-Jul-2014",21.1,0.92
"08-Jul-2014",25.8,37.09
"09-Jul-2014",24.7,21.91
"10-Jul-2014",23.8,13.55
"11-Jul-2014",22.1,39.59
"12-Jul-2014",23.5,2.2
"13-Jul-2014",24.1,24.5
"14-Jul-2014",26,3.46
"15-Jul-2014",25.3,21.64
"16-Jul-2014",19.4,11.03
"17-Jul-2014",24.6,14.24
